CODGEO;NB_B101;NB_B102;NB_B103;NB_B201;NB_B202;NB_B203;NB_B204;NB_B205;NB_B206;NB_B301;NB_B302;NB_B303;NB_B304;NB_B305;NB_B306;NB_B307;NB_B308;NB_B309;NB_B310;NB_B311;NB_B312;NB_B313;NB_B315;NB_B316
01001;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01004;0;7;3;1;8;11;8;1;0;4;35;6;3;5;8;7;0;3;7;4;4;7;3;3
01005;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
01006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01007;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0
01008;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0
01009;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
01010;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01014;1;1;1;0;1;0;0;1;0;0;10;3;1;3;5;0;0;2;1;3;3;4;0;2
01015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01016;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01017;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01021;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
01022;0;1;0;0;0;5;1;0;0;1;0;1;0;0;0;1;0;0;0;0;1;1;0;1
01023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01024;0;1;0;1;0;2;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1
01025;0;1;0;0;0;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1
01026;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
01027;0;0;0;0;4;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
01028;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01029;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01030;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01031;0;1;0;0;1;1;1;0;0;0;1;0;0;0;2;1;0;1;0;0;1;2;0;0
01032;0;0;1;0;0;1;2;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0
01033;1;3;1;2;8;15;7;0;1;7;6;1;2;4;2;4;0;2;3;2;5;5;2;2
01034;1;3;1;2;4;10;8;1;0;3;16;3;3;3;4;2;0;2;3;1;8;8;5;2
01035;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
