CODGEO;NB_E101;NB_E102;NB_E107;NB_E108;NB_E109;NB_G101;NB_G102;NB_G103;NB_G104
01001;0;0;0;0;0;0;0;0;0
01002;0;0;0;0;0;0;0;0;0
01004;7;0;0;1;0;2;1;0;2
01005;0;0;0;0;0;0;2;1;0
01006;0;0;0;0;0;0;0;0;0
01007;1;0;0;0;1;0;0;0;0
01008;0;0;0;0;0;0;0;0;0
01009;0;0;0;0;0;0;0;0;0
01010;1;0;0;0;0;0;1;0;0
01011;0;0;0;0;0;0;0;0;0
01012;0;0;0;0;0;0;1;0;0
01013;0;0;0;0;0;0;0;0;0
01014;0;0;0;0;0;0;1;0;0
01015;0;0;0;0;0;0;0;0;0
01016;0;0;0;0;0;0;1;0;0
01017;0;0;0;0;0;0;0;0;0
01019;0;0;0;0;0;0;0;0;0
01021;2;0;0;0;0;0;1;1;1
01022;0;0;0;0;0;0;0;1;0
01023;0;0;0;0;0;0;0;0;0
01024;0;0;0;0;0;0;1;0;0
01025;1;0;0;0;0;0;0;0;1
01026;0;0;0;0;0;0;0;0;0
01027;2;0;0;0;0;0;0;0;0
01028;2;0;0;0;0;0;0;0;0
01029;0;0;0;0;0;0;0;0;0
01030;1;0;0;0;0;0;0;0;0
01031;0;0;0;0;1;0;1;0;0
01032;4;0;0;1;0;0;0;0;0
01033;4;0;1;0;0;4;6;0;3
01034;6;0;0;0;0;3;1;0;1
01035;0;0;0;0;0;0;0;0;0
01036;1;0;0;0;0;0;1;0;0
01037;0;0;0;0;0;0;0;0;0
01038;0;0;0;0;0;0;0;0;0
01039;0;0;0;0;0;0;0;0;0
01040;0;0;0;0;0;0;0;0;0
01041;0;0;0;0;0;0;0;0;0
01042;0;0;0;0;0;1;0;0;0
01043;4;0;0;1;0;2;2;0;0
01044;1;0;0;0;0;0;1;0;0
01045;0;0;0;0;0;0;0;0;0
01046;1;0;0;0;0;0;0;0;0
01047;0;0;0;0;0;0;1;0;0
01049;3;0;0;0;0;0;1;0;0
01050;0;0;0;0;0;0;0;0;0
01051;0;0;0;0;1;0;0;0;0
01052;0;0;0;0;0;0;0;0;1
01053;22;0;1;0;0;12;11;0;2
01054;0;0;0;0;0;0;0;0;0
01056;0;0;0;0;0;0;0;0;1
01057;0;0;0;0;0;0;0;0;0
01058;2;0;0;0;0;0;0;1;0
01060;0;0;0;0;0;0;0;0;0
01061;0;0;0;0;0;0;0;0;0
01062;0;0;0;0;0;0;0;0;0
01063;0;0;0;0;1;0;0;0;0
01064;1;0;0;0;0;0;0;0;0
01065;1;0;0;0;0;0;1;0;0
01066;0;0;0;0;0;0;0;0;0
01067;0;0;0;0;0;0;0;0;0
01068;0;0;0;0;0;0;0;0;1
01069;0;0;0;0;0;0;0;0;0
01071;5;0;0;0;0;2;0;0;0
01072;2;0;0;0;1;0;0;0;0
01073;1;0;0;0;0;0;0;0;0
01074;3;0;0;0;0;0;0;0;1
01075;2;0;0;0;0;0;0;2;0
01076;0;0;0;0;0;0;0;1;0
01077;0;0;0;0;0;0;0;0;0
01078;0;0;0;0;0;0;0;0;0
01079;1;0;0;0;0;0;0;1;2
01080;0;0;0;0;0;0;0;1;0
01081;0;0;0;0;0;0;0;1;0
01082;0;0;0;0;0;0;0;0;0
01083;0;0;0;0;0;0;1;0;0
01084;0;0;0;0;0;0;0;0;0
01085;0;0;0;0;0;0;0;0;0
01087;1;0;0;0;0;0;0;0;0
01088;1;0;0;0;0;0;0;0;0
01089;1;0;0;0;0;0;1;0;0
01090;0;0;0;0;0;0;0;0;0
01092;2;0;0;0;0;0;0;0;0
01093;0;0;0;0;0;1;4;1;2
01094;0;0;0;0;0;0;0;1;0
01095;2;0;0;0;0;0;0;1;0
01096;0;0;0;0;0;0;0;0;0
01098;0;0;0;0;0;0;0;0;0
01099;1;0;0;0;0;0;0;1;1
01100;0;0;0;0;0;0;0;0;0
01101;0;0;0;0;0;0;0;0;0
01102;0;0;0;0;0;0;0;0;0
01103;0;0;0;0;0;0;0;0;1
01104;0;0;0;0;0;0;0;1;0
01105;2;0;0;0;0;0;0;0;0
01106;0;0;0;0;0;0;0;0;0
01107;0;0;0;0;0;0;0;0;0
01108;0;0;0;0;0;0;0;0;0
01109;0;0;0;0;0;0;0;0;0
01110;1;0;0;0;0;0;0;0;0
01111;0;0;0;0;0;0;0;0;0
01112;0;0;0;0;0;0;0;0;0
01113;0;0;0;0;0;0;0;0;0
01114;0;0;0;0;0;0;0;0;0
01115;1;0;0;0;0;0;1;0;0
01116;0;0;0;0;0;1;0;0;0
01117;0;0;0;0;0;0;0;0;0
01118;0;0;0;0;1;0;1;0;0
01121;1;0;0;0;0;0;0;0;0
01123;0;0;0;0;0;0;0;1;0
01124;1;0;0;0;0;0;0;0;0
01125;0;0;0;0;0;0;0;0;0
01127;0;0;0;0;0;0;0;0;0
01128;0;0;0;0;0;0;0;0;1
01129;0;0;0;0;0;0;0;0;0
01130;0;0;0;0;0;0;0;0;1
01133;0;0;0;0;0;0;0;0;0
01134;0;0;0;0;1;0;0;0;0
01135;1;0;0;0;0;0;4;0;0
01136;0;0;0;0;0;0;0;0;0
01138;2;0;0;1;0;0;1;1;1
01139;0;0;0;0;0;0;0;0;0
01140;0;0;0;0;0;0;0;0;0
01141;0;0;0;0;0;0;0;0;0
01142;2;0;0;0;0;0;1;0;0
01143;10;0;0;0;0;1;8;1;3
01145;0;0;0;0;0;0;0;0;0
